from,to,relation ,year,Eindeutige Knoten
gs_2023,papa,1,2023,sehu
gs_2023,beri,1,2023,roen
gs_2023,eito,1,2023,lesa
gs_2023,nahe,1,2023,dagi
rtl,ba_f,3,0,alge
ba_f,ba_f_2020,2,2020,emoz
ba_f,ba_f_2021,2,2021,masch
ba_f,ba_f_2022,2,2022,loam
ba_f,ba_f_2023,2,2023,flsz
ba_f,ba_f_2024,2,2024,daba
ba_f_2020,meda,1,2020,algo
ba_f_2020,chmo,1,2020,pako
ba_f_2020,sehu,1,2020,daml
ba_f_2020,roen,1,2020,anbi
ba_f_2020,lesa,1,2020,adpe
ba_f_2020,dagi,1,2020,daha
ba_f_2020,alge,1,2020,sepa
ba_f_2020,emoz,1,2020,mobr
ba_f_2020,masch,1,2020,magr
ba_f_2020,loam,1,2020,mahe
ba_f_2020,flsz,1,2020,ziba
ba_f_2020,daba,1,2020,rafa
ba_f_2020,algo,1,2020,daca
ba_f_2020,pako,1,2020,tolu
ba_f_2020,daml,1,2020,nibi
ba_f_2020,anbi,1,2020,juda
ba_f_2020,adpe,1,2020,maad
ba_f_2020,daha,1,2020,lekn
ba_f_2020,sepa,1,2020,roja
ba_f_2020,mobr,1,2020,mawit
ba_f_2020,magr,1,2020,niul
ba_f_2021,mahe,1,2021,keul
ba_f_2021,ziba,1,2021,made
ba_f_2021,rafa,1,2021,keen
ba_f_2021,daca,1,2021,helu
ba_f_2021,tolu,1,2021,bepf
ba_f_2021,nibi,1,2021,guma
ba_f_2021,juda,1,2021,dobo
ba_f_2021,maad,1,2021,shba
ba_f_2021,lekn,1,2021,alcho
ba_f_2021,roja,1,2021,bacor
ba_f_2021,mawit,1,2021,defe
ba_f_2021,niul,1,2021,emwe
ba_f_2021,keul,1,2021,hamu
ba_f_2021,made,1,2021,jaho
ba_f_2021,lama,1,2021,luba
ba_f_2021,keen,1,2021,moai
ba_f_2021,jost,1,2021,mokr
ba_f_2021,helu,1,2021,pani
ba_f_2021,bepf,1,2021,phkr
ba_f_2021,guma,1,2021,stko
ba_f_2021,dobo,1,2021,stvo
ba_f_2022,shba,1,2022,tidi
ba_f_2022,alcho,1,2022,tije
ba_f_2022,bacor,1,2022,tofr
ba_f_2022,defe,1,2022,umte
ba_f_2022,emwe,1,2022,yasy
ba_f_2022,hamu,1,2022,jesa
ba_f_2022,jaho,1,2022,adal
ba_f_2022,luba,1,2022,alru
ba_f_2022,mafu,1,2022,anko
ba_f_2022,mawi,1,2022,baba
ba_f_2022,moai,1,2022,dana
ba_f_2022,mokr,1,2022,fyku
ba_f_2022,pani,1,2022,giro
ba_f_2022,phkr,1,2022,jesai
ba_f_2022,stko,1,2022,jeha
ba_f_2022,stvo,1,2022,jupl
ba_f_2022,tidi,1,2022,kaak
ba_f_2022,tije,1,2022,kiwa
ba_f_2022,tofr,1,2022,mife
ba_f_2022,umte,1,2022,ogge
ba_f_2022,yasy,1,2022,olsl
ba_f_2023,jesa,1,2023,pego
ba_f_2023,adal,1,2023,thva
ba_f_2023,alru,1,2023,timu
ba_f_2023,anko,1,2023,yari
ba_f_2023,baba,1,2023,aaro
ba_f_2023,dana,1,2023,benn
ba_f_2023,fyku,1,2023,bria
ba_f_2023,giro,1,2023,devi
ba_f_2023,jesai,1,2023,erik
ba_f_2023,jeha,1,2023,fabi
ba_f_2023,jupl,1,2023,ferr
ba_f_2023,kaak,1,2023,jan
ba_f_2023,kiwa,1,2023,luka
ba_f_2023,maka,1,2023,marku
ba_f_2023,mife,1,2023,martin
ba_f_2023,ogge,1,2023,maxi
ba_f_2023,olsl,1,2023,must
ba_f_2023,pego,1,2023,pete
ba_f_2023,thva,1,2023,smit
ba_f_2023,timu,1,2023,akos
ba_f_2023,yari,1,2023,aysu
ba_f_2024,stst,1,2024,emma
ba_f_2024,aaro,1,2024,leil
ba_f_2024,benn,1,2024,luna
ba_f_2024,bria,1,2024,marcel
ba_f_2024,devi,1,2024,phil
ba_f_2024,erik,1,2024,alexan
ba_f_2024,fabi,1,2024,chris
ba_f_2024,ferr,1,2024,cindy
ba_f_2024,jan,1,2024,david
ba_f_2024,luka,1,2024,jess
ba_f_2024,marku,1,2024,marce
ba_f_2024,martin,1,2024,melis
ba_f_2024,maxi,1,2024,nico
ba_f_2024,must,1,2024,sama
ba_f_2024,pete,1,2024,serk
ba_f_2024,smit,1,2024,anni
ba_f_2024,akos,1,2024,manue
ba_f_2024,aysu,1,2024,emil
ba_f_2024,emma,1,2024,robe
ba_f_2024,leil,1,2024,lisa1
ba_f_2024,luna,1,2024,mich1
pro7_sat1,hadeb,3,0,wieb
hadeb,hadeb_2019,2,2019,norb
hadeb,hadeb_2020,2,2020,dani
hadeb,hadeb_2021,2,2021,rene
hadeb,hadeb_2022,2,2022,aria
hadeb,hadeb_2023,2,2023,mart
hadeb_2019,marcel,1,2019,janin
hadeb_2019,phil,1,2019,denn
hadeb_2019,alexan,1,2019,anik
hadeb_2019,chris,1,2019,julia
hadeb_2019,cindy,1,2019,lisa2
hadeb_2019,david,1,2019,manu
hadeb_2019,jess,1,2019,selia
hadeb_2019,marce,1,2019,simon
hadeb_2019,melis,1,2019,david2
hadeb_2019,nico,1,2019,marc
hadeb_2019,sama,1,2019,mario
hadeb_2019,serk,1,2019,mich2
hadeb_2020,anni,1,2020,ralf
hadeb_2020,manue,1,2020,rober
hadeb_2020,emil,1,2020,jaqu
hadeb_2020,robe,1,2020,nata
hadeb_2020,lisa1,1,2020,king
hadeb_2020,mich1,1,2020,mich3
hadeb_2020,wieb,1,2020,nadi
hadeb_2020,norb,1,2020,jana
hadeb_2020,dani,1,2020,peter
hadeb_2020,rene,1,2020,oliv
hadeb_2020,aria,1,2020,christ
hadeb_2020,mart,1,2020,denni
hadeb_2020,janin,1,2020,markus1
hadeb_2020,denn,1,2020,mort
hadeb_2021,anik,1,2021,olive
hadeb_2021,julia,1,2021,heik
hadeb_2021,lisa2,1,2021,robert
hadeb_2021,manu,1,2021,kai
hadeb_2021,selia,1,2021,joch
hadeb_2021,simon,1,2021,kars
hadeb_2021,david2,1,2021,bian
hadeb_2021,marc,1,2021,alexand
hadeb_2021,mario,1,2021,marin
hadeb_2021,mich2,1,2021,marina
hadeb_2021,ralf,1,2021,mich4
hadeb_2021,rober,1,2021,yasm
hadeb_2022,jaqu,1,2022,patr
hadeb_2022,nata,1,2022,andy
